Fichier,RMSE,MAE
Adobe.csv,0.03463125553756201,0.023457687341869635
Alibaba.csv,0.019731962345148443,0.014112282096291758
Alphabet.csv,0.03022100197385887,0.023462132363395213
Amazon.csv,0.034992269114316944,0.026926726150952714
AMD.csv,0.03160068665286346,0.024942860829874264
Apple.csv,0.03218312360886075,0.02234115437455221
ASML.csv,0.03656561231964703,0.024656230658791457
Baidu.csv,0.01162592998801186,0.009206026997993534
BYD.csv,0.034051851941749506,0.023793402740118125
Cisco.csv,0.03289649321949787,0.023195343861288575
ExxonMobil.csv,0.02650126325022557,0.02059422490146087
Goldman Sachs.csv,0.03253580576719852,0.02377066930788021
Hyundai.csv,0.03343709293949386,0.025856104430683688
IBM.csv,0.02820431617933578,0.019723972454650362
ICBC.csv,0.02795653668841012,0.0209545285849143
Intel.csv,0.029660953806207483,0.020033181627311155
JD.com.csv,0.020045918874975307,0.014468613738249744
Johnson & Johnson.csv,0.043505903687869114,0.03312138953662003
JP Morgan.csv,0.0274813178548372,0.019463337858621775
Louis Vuitton (LVMH).csv,0.03035024715855341,0.022790630857183698
Meta.csv,0.026579373734503683,0.020267718290803653
Microsoft.csv,0.032180341929830415,0.024184953876560656
Netflix.csv,0.02600640301737038,0.018989798038434907
Nintendo.csv,0.03130819938515972,0.021690335588572883
NVIDIA.csv,0.044631607165590406,0.03555070355095223
Oracle.csv,0.038600583463033765,0.029437320241315013
Pfizer.csv,0.016813638878833057,0.013183776854565355
Qualcomm.csv,0.032822436895515804,0.025850894949651922
Reliance Industries.csv,0.02823988978533624,0.021436156432091357
Samsung.csv,0.04053205708787693,0.0307797448189019
SAP.csv,0.023489364597034313,0.017530395881089966
Shell.csv,0.027621405106399204,0.020453377915433207
Siemens.csv,0.029993287080375634,0.022020638414440928
SoftBank.csv,0.03997328392580215,0.02916705606744995
Sony.csv,0.0374179089192136,0.02835765903075548
Tata Consultancy Services.csv,0.029218075469322,0.021964147247090688
Tencent.csv,0.025466785073136124,0.018299333460626555
Tesla.csv,0.0362297490543517,0.026610815388841632
TotalEnergies.csv,0.030233936040449823,0.021766943755392846
Toyota.csv,0.0299713466521463,0.021917758724291598
Visa.csv,0.02749431210770887,0.01876180064189167
Adobe.csv,0.032666720306156555,0.022333959478856996
Alibaba.csv,0.019449465526978592,0.013269228348949877
Adobe.csv,0.03153000684741202,0.02045017416722648
Alibaba.csv,0.01666987906459555,0.011292380676220489
Alphabet.csv,0.031172072472733212,0.024283101405774558
Amazon.csv,0.031560322322085395,0.023946494635292054
AMD.csv,0.03113473955988862,0.02456130163883573
Apple.csv,0.033795295173463455,0.023735648681513156
ASML.csv,0.03672801704012096,0.0269410092048735
Baidu.csv,0.012505770008900196,0.010087205856308224
BYD.csv,0.034105690774233845,0.02378055239730983
Cisco.csv,0.03139653345875407,0.022098379737087823
ExxonMobil.csv,0.026560316435457608,0.01981242378048368
Goldman Sachs.csv,0.033367341806046315,0.02488579547119399
Hyundai.csv,0.03215808490891869,0.024658883853621295
IBM.csv,0.02719611625159115,0.01875799614959514
ICBC.csv,0.03131535316963582,0.023699277859156404
Intel.csv,0.03255457759181057,0.022394700245169007
JD.com.csv,0.02304585191369197,0.016194144590427607
Johnson & Johnson.csv,0.04088000897309319,0.030119151582805884
JP Morgan.csv,0.02548099751778979,0.017585512912587687
Louis Vuitton (LVMH).csv,0.033648174581759116,0.025309614768616817
Meta.csv,0.025381671510277454,0.019251614884052803
Microsoft.csv,0.032026951748038573,0.024361865019322824
Netflix.csv,0.02336690693058339,0.016505005873579087
Nintendo.csv,0.03053137964350335,0.021292896348921956
NVIDIA.csv,0.04519848902320152,0.03553981514428233
Oracle.csv,0.036068257285454916,0.02584379253052769
Pfizer.csv,0.017357722794757745,0.0131612277002822
Qualcomm.csv,0.03253936470556183,0.024535655616886868
Reliance Industries.csv,0.02807224002867181,0.02148121687498235
Samsung.csv,0.03854937852047528,0.029041990240748453
SAP.csv,0.023289407288963854,0.017706100072145826
Shell.csv,0.026412652841176495,0.018233020182012036
Siemens.csv,0.03152498280785714,0.024176169583788903
SoftBank.csv,0.04468325329654834,0.03538800380078642
Sony.csv,0.03662286599152084,0.027622351476400162
Tata Consultancy Services.csv,0.02780020141338217,0.02061210141758933
Tencent.csv,0.024985835208645536,0.01785962812266735
Tesla.csv,0.0368655797047324,0.02738184096457888
TotalEnergies.csv,0.028912744825913123,0.0204247269349505
Toyota.csv,0.029805531728219828,0.022072916988010907
Visa.csv,0.0298928628956507,0.02108451083301985
